year,month,state_id,gender_id,value,pp_id
2035,March,10,2,17672,519
2035,March,24,3,12630,520
2035,March,24,1,6613,521
2035,March,24,2,6017,522
2035,March,32,3,4939,523
2035,March,32,1,2674,524
2035,March,32,2,2265,525
2035,March,23,3,824,526
2035,March,23,1,445,527
2035,March,23,2,379,528
2035,March,25,3,16748,529
2035,March,25,1,8942,530
2035,March,25,2,7806,531
2035,March,11,3,43963,532
2035,March,11,1,23385,533
2035,March,11,2,20578,534
2035,March,33,3,1448,535
2035,March,33,1,740,536
2035,March,33,2,708,537
2035,March,29,3,26183,538
2035,March,29,1,14017,539
2035,March,29,2,12166,540
2035,March,34,3,1789,541
2035,March,34,1,1507,542
2035,March,34,2,282,543
2035,March,34,3,1281,544
2035,March,34,1,762,545
2035,March,34,2,519,546
2035,March,4,3,10465,547
2035,March,4,1,5350,548
2035,March,4,2,5115,549
2035,March,19,3,1351,550
2035,March,19,1,741,551
2035,March,19,2,610,552
2035,March,2,3,19429,553
2035,March,2,1,10253,554
2035,March,2,2,9176,555
2035,March,5,3,6672,556
2035,March,5,1,3429,557
2035,March,5,2,3243,558
2035,March,26,3,485,559
2035,March,26,1,257,560
2035,March,26,2,228,561
2035,March,14,3,23903,562
2035,March,14,1,12030,563
2035,March,14,2,11873,564
2035,March,30,3,210,565
2035,March,30,1,112,566
2035,March,30,2,98,567
2035,March,37,3,586686,568
2035,March,37,1,304470,569
2035,March,37,2,282216,570
2035,July,8,3,43307,571
2035,July,8,1,22277,572
2035,July,8,2,21030,573
2035,July,12,3,5383,574
2035,July,12,1,2857,575
2035,July,12,2,2526,576
2035,July,16,3,66587,577
2035,July,16,1,35157,578
2035,July,16,2,31430,579
2035,July,28,3,2416,580
2035,July,28,1,1225,581
2035,July,28,2,1191,582
2035,July,20,3,22402,583
2035,July,20,1,11274,584
2035,July,20,2,11128,585
2035,July,13,3,46310,586
2035,July,13,1,23155,587
2035,July,13,2,23155,588
2035,July,31,3,555,589
2035,July,31,1,290,590
2035,July,31,2,265,591
2035,July,15,3,25553,592
2035,July,15,1,13351,593
2035,July,15,2,12202,594
2035,July,17,3,15110,595
2035,July,17,1,8058,596
2035,July,17,2,7051,597
2035,July,21,3,1545,598
2035,July,21,1,757,599
2035,July,21,2,789,600
2035,July,9,3,10348,601
2035,July,9,1,5356,602
2035,July,9,2,4992,603
2035,July,27,3,1552,604
2035,July,27,1,814,605
2035,July,27,2,739,606
2035,July,18,3,786,607
2035,July,18,1,394,608
2035,July,18,2,393,609
2035,July,22,3,780,610
2035,July,22,1,390,611
2035,July,22,2,390,612
2035,July,6,3,1263,613
2035,July,6,1,623,614
2035,July,6,2,639,615
2035,July,1,3,70745,616
2035,July,1,1,37176,617
2035,July,1,2,33569,618
2035,July,3,3,29509,619
2035,July,3,1,15385,620
2035,July,3,2,14124,621
2035,July,36,3,71,622
2035,July,36,1,37,623
2035,July,36,2,34,624
2035,July,35,3,128,625
2035,July,35,1,84,626
2035,July,35,2,44,627
2035,July,7,3,35338,628
2035,July,7,1,16900,629
2035,July,7,2,18438,630
2035,July,10,3,36186,631
2035,July,10,1,18434,632
2035,July,10,2,17752,633
2035,July,24,3,12692,634
2035,July,24,1,6645,635
2035,July,24,2,6047,636
2035,July,32,3,4961,637
