year,month,state_id,vehicle,fuel,value,vehicle_id
2025,April,5,CRANE MOUNTED VEHICLE,DIESEL,12,259
2025,April,5,DUMPER,DIESEL,64,234
2025,April,5,DUMPER,PETROL,1,235
2025,April,5,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),242,133
2025,April,5,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),37,133
2025,April,5,E-RICKSHAW(P),ELECTRIC(BOV),2433,138
2025,April,5,E-RICKSHAW(P),NOT APPLICABLE,2,139
2025,April,5,E-RICKSHAW(P),ELECTRIC(BOV),1121,138
2025,April,5,EARTH MOVING EQUIPMENT,DIESEL,4,248
2025,April,5,EXCAVATOR (COMMERCIAL),DIESEL,1,255
2025,April,5,EXCAVATOR (NT),DIESEL,10,251
2025,April,5,FORK LIFT,DIESEL,1,267
2025,April,5,GOODS CARRIER,CNG ONLY,2,184
2025,April,5,GOODS CARRIER,DIESEL,740,182
2025,April,5,GOODS CARRIER,ELECTRIC(BOV),2,185
2025,April,5,GOODS CARRIER,PETROL,355,183
2025,April,5,GOODS CARRIER,PETROL/CNG,1,186
2025,April,5,GOODS CARRIER,PETROL/ETHANOL,16,187
2025,April,5,GOODS CARRIER,ELECTRIC(BOV),2,185
2025,April,5,M-CYCLE/SCOOTER,ELECTRIC(BOV),37,77
2025,April,5,M-CYCLE/SCOOTER,ETHANOL,1,81
2025,April,5,M-CYCLE/SCOOTER,PETROL,28455,78
2025,April,5,M-CYCLE/SCOOTER,PETROL/ETHANOL,4495,79
2025,April,5,M-CYCLE/SCOOTER,ELECTRIC(BOV),243,77
2025,April,5,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,3,96
2025,April,5,MAXI CAB,CNG ONLY,10,60
2025,April,5,MAXI CAB,DIESEL,16,59
2025,April,5,MAXI CAB,PETROL,57,61
2025,April,5,MAXI CAB,PETROL/ETHANOL,2,62
2025,April,5,MOPED,PETROL,275,86
2025,April,5,MOPED,PETROL/ETHANOL,10,88
2025,April,5,MOTOR CAB,DIESEL,28,48
2025,April,5,MOTOR CAB,PETROL,97,49
2025,April,5,MOTOR CAB,PETROL/CNG,8,51
2025,April,5,MOTOR CAB,PETROL/ETHANOL,2,52
2025,April,5,MOTOR CAB,PETROL/HYBRID,9,50
2025,April,5,MOTOR CAR,DIESEL,657,152
2025,April,5,MOTOR CAR,DIESEL/HYBRID,3,157
2025,April,5,MOTOR CAR,ELECTRIC(BOV),16,156
2025,April,5,MOTOR CAR,PETROL,3431,153
2025,April,5,MOTOR CAR,PETROL/CNG,20,158
2025,April,5,MOTOR CAR,PETROL/ETHANOL,698,154
2025,April,5,MOTOR CAR,PETROL/HYBRID,530,155
2025,April,5,MOTOR CAR,ELECTRIC(BOV),16,156
2025,April,5,MOTOR CAR,PETROL/HYBRID,38,155
2025,April,5,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),DIESEL,16,40
2025,April,5,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),PETROL,1,41
2025,April,5,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),PETROL/ETHANOL,1,42
2025,April,5,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),PETROL/HYBRID,3,43
2025,April,5,RECOVERY VEHICLE,DIESEL,2,310
2025,April,5,THREE WHEELER (GOODS),CNG ONLY,8,110
2025,April,5,THREE WHEELER (GOODS),DIESEL,53,109
2025,April,5,THREE WHEELER (GOODS),ELECTRIC(BOV),22,111
2025,April,5,THREE WHEELER (GOODS),ELECTRIC(BOV),5,111
2025,April,5,THREE WHEELER (PASSENGER),CNG ONLY,44,118
2025,April,5,THREE WHEELER (PASSENGER),DIESEL,26,119
2025,April,5,THREE WHEELER (PASSENGER),ELECTRIC(BOV),977,120
2025,April,5,THREE WHEELER (PASSENGER),PETROL,288,117
2025,April,5,THREE WHEELER (PASSENGER),ELECTRIC(BOV),648,120
2025,April,5,TRACTOR (COMMERCIAL),DIESEL,575,224
2025,April,5,TRAILER (AGRICULTURAL),NOT APPLICABLE,5,289
2025,April,5,TRAILER (COMMERCIAL),NOT APPLICABLE,21,238
2025,April,5,VEHICLE FITTED WITH RIG,DIESEL,2,273
2025,April,2,ADAPTED VEHICLE,DIESEL,1,328
2025,April,2,ADAPTED VEHICLE,PETROL,2,325
2025,April,2,ADAPTED VEHICLE,PETROL/CNG,1,329
2025,April,2,ADAPTED VEHICLE,PETROL/ETHANOL,1,326
2025,April,2,AGRICULTURAL TRACTOR,DIESEL,1386,276
2025,April,2,AMBULANCE,DIESEL,10,294
2025,April,2,AMBULANCE,PETROL,43,295
2025,April,2,ARTICULATED VEHICLE,DIESEL,66,216
2025,April,2,BUS,CNG ONLY,101,2
2025,April,2,BUS,DIESEL,180,1
2025,April,2,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,119,240
2025,April,2,DUMPER,DIESEL,10,234
